disease,symptom
Hashimoto's disease,"Muscle aches, tenderness and stiffness"
Hashimoto's disease,Joint pain and stiffness
Hashimoto's disease,Muscle weakness
Hashimoto's disease,Excessive or prolonged menstrual bleeding
Hashimoto's disease,Depression
Hashimoto's disease,Memory lapses
COPD,"Shortness of breath, especially during physical activities"
COPD,Wheezing
COPD,Chest tightness
COPD,"A chronic cough that may produce mucus (sputum) that may be clear, white, yellow or greenish"
COPD,Frequent respiratory infections
COPD,Lack of energy
COPD,Unintended weight loss (in later stages)
COPD,"Swelling in ankles, feet or legs"
Chronic sinusitis,Nasal inflammation
Chronic sinusitis,"Thick, discolored discharge from the nose (runny nose)"
Chronic sinusitis,Drainage down the back of the throat (postnasal drainage)
Chronic sinusitis,Blocked or stuffy (congested) nose causing difficulty breathing through your nose
Chronic sinusitis,"Pain, tenderness and swelling around your eyes, cheeks, nose or forehead"
Chronic sinusitis,Reduced sense of smell and taste
Chronic sinusitis,Ear pain
Chronic sinusitis,Headache
Chronic sinusitis,Aching in your upper jaw and teeth
Chronic sinusitis,Cough or throat clearing
Chronic sinusitis,Sore throat
Chronic sinusitis,Bad breath
Chronic sinusitis,Fatigue
Cirrhosis,Fatigue
Cirrhosis,Easily bleeding or bruising
Cirrhosis,Loss of appetite
Cirrhosis,Nausea
Cirrhosis,"Swelling in your legs, feet or ankles (edema)"
Cirrhosis,Weight loss
Cirrhosis,Itchy skin
Cirrhosis,Yellow discoloration in the skin and eyes (jaundice)
Cirrhosis,Fluid accumulation in your abdomen (ascites)
Cirrhosis,Spiderlike blood vessels on your skin
Cirrhosis,Redness in the palms of the hands
Cirrhosis,"For women, absent or loss of periods not related to menopause"
Cirrhosis,"For men, loss of sex drive, breast enlargement (gynecomastia) or testicular atrophy"
Cirrhosis,"Confusion, drowsiness and slurred speech (hepatic encephalopathy)"
Claudication,"Pain, ache, discomfort or fatigue in muscles every time you use those muscles"
Claudication,"Pain in the calves, thighs, buttocks, hips or feet"
Claudication,"Less often, pain in shoulders, biceps and forearms"
Claudication,Pain that gets better soon after resting
Claudication,Cool skin
Claudication,"Severe, constant pain that progresses to numbness"
Claudication,Skin discoloration
Claudication,Wounds that don't heal
Cleft lip and cleft palate,A split in the lip and roof of the mouth (palate) that affects one or both sides of the face
Cleft lip and cleft palate,A split in the lip that appears as only a small notch in the lip or extends from the lip through the upper gum and palate into the bottom of the nose
Cleft lip and cleft palate,A split in the roof of the mouth that doesn't affect the appearance of the face
Cleft lip and cleft palate,Difficulty with feedings
Cleft lip and cleft palate,"Difficulty swallowing, with potential for liquids or foods to come out the nose"
Cleft lip and cleft palate,Nasal speaking voice
Cleft lip and cleft palate,Chronic ear infections
Depression (major depressive disorder),"Feelings of sadness, tearfulness, emptiness or hopelessness"
Depression (major depressive disorder),"Angry outbursts, irritability or frustration, even over small matters"
Depression (major depressive disorder),"Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports"
Depression (major depressive disorder),"Sleep disturbances, including insomnia or sleeping too much"
Depression (major depressive disorder),"Tiredness and lack of energy, so even small tasks take extra effort"
Depression (major depressive disorder),Reduced appetite and weight loss or increased cravings for food and weight gain
Depression (major depressive disorder),"Anxiety, agitation or restlessness"
Depression (major depressive disorder),"Slowed thinking, speaking or body movements"
Depression (major depressive disorder),"Feelings of worthlessness or guilt, fixating on past failures or self-blame"
Depression (major depressive disorder),"Trouble thinking, concentrating, making decisions and remembering things"
Depression (major depressive disorder),"Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide"
Depression (major depressive disorder),"Unexplained physical problems, such as back pain or headaches"
Clubfoot,"The top of the foot is usually twisted downward and inward, increasing the arch and turning the heel inward."
Clubfoot,The foot may be turned so severely that it actually looks as if it's upside down.
Clubfoot,The affected leg or foot may be slightly shorter.
Clubfoot,The calf muscles in the affected leg are usually underdeveloped.
Cluster headache,"Excruciating pain that is generally situated in, behind or around one eye, but may radiate to other areas of your face, head and neck"
Cluster headache,One-sided pain
Cluster headache,Restlessness
Cluster headache,Excessive tearing
Cluster headache,Redness of your eye on the affected side
Cluster headache,Stuffy or runny nose on the affected side
Cluster headache,Forehead or facial sweating on the affected side
Cluster headache,Pale skin (pallor) or flushing on your face
Cluster headache,Swelling around your eye on the affected side
Cluster headache,Drooping eyelid on the affected side
Valley fever,Fever
Valley fever,Cough
Valley fever,Tiredness
Valley fever,Shortness of breath
Valley fever,Headache
Valley fever,Chills
Valley fever,Night sweats
Valley fever,Joint aches and muscle soreness
Valley fever,"Red, spotty rash, mainly on lower legs but sometimes on the chest, arms and back"
Cold urticaria,"Temporary reddish, itchy welts (hives) on the area of skin that was exposed to cold"
Cold urticaria,A worsening of the reaction as the skin warms
Cold urticaria,Swelling of hands while holding cold objects
Cold urticaria,Swelling of lips from consuming cold food or drink
Cold urticaria,"A whole-body response (anaphylaxis), which can cause fainting, a racing heart, swelling of limbs or torso, and shock"
Cold urticaria,"Swelling of the tongue and throat, which can make it difficult to breathe"
Hypothermia,Shivering
Hypothermia,Slurred speech or mumbling
Hypothermia,"Slow, shallow breathing"
Hypothermia,Weak pulse
Hypothermia,Clumsiness or lack of coordination
Hypothermia,Drowsiness or very low energy
Hypothermia,Confusion or memory loss
Hypothermia,Loss of consciousness
Hypothermia,"Bright red, cold skin (in infants)"
Cold sore,"Tingling and itching. Many people feel itching, burning or tingling around the lips for a day or so before a small, hard, painful spot appears and blisters erupt."
Cold sore,Blisters. Small fluid-filled blisters typically erupt along the border of your lips. Sometimes they appear around the nose or cheeks or inside the mouth.
Cold sore,"Oozing and crusting. The small blisters may merge and then burst, leaving shallow open sores that ooze and crust over."
Cold sore,Fever
Cold sore,Painful gums
Cold sore,Sore throat
Cold sore,Headache
Cold sore,Muscle aches
Cold sore,Swollen lymph nodes
Common cold,Runny or stuffy nose
Common cold,Sore throat
Common cold,Cough
Common cold,Congestion
Common cold,Slight body aches or a mild headache
Common cold,Sneezing
Common cold,Low-grade fever
Common cold,Generally feeling unwell
Colic,Intense crying that may seem more like screaming or an expression of pain
Colic,"Crying for no apparent reason, unlike crying to express hunger or the need for a diaper change"
Colic,Extreme fussiness even after crying has diminished
Colic,"Predictable timing, with episodes often occurring in the evening"
Colic,"Facial discoloring, such as reddening of the face or paler skin around the mouth"
Colic,"Bodily tension, such as pulled up or stiffened legs, stiffened arms, clenched fists, arched back, or tense abdomen"
Ischemic colitis,"Pain, tenderness or cramping in your belly, which can occur suddenly or gradually"
Ischemic colitis,"Bright red or maroon blood in your stool or, at times, passage of blood alone without stool"
Ischemic colitis,A feeling of urgency to move your bowels
Ischemic colitis,Diarrhea
Ischemic colitis,Nausea
Microscopic colitis,Chronic watery diarrhea
Microscopic colitis,"Abdominal pain, cramps or bloating"
Microscopic colitis,Weight loss
Microscopic colitis,Nausea
Microscopic colitis,Fecal incontinence
Microscopic colitis,Dehydration
Ulcerative colitis,"Diarrhea, often with blood or pus"
Ulcerative colitis,Abdominal pain and cramping
Ulcerative colitis,Rectal pain
Ulcerative colitis,Rectal bleeding — passing small amount of blood with stool
Ulcerative colitis,Urgency to defecate
Ulcerative colitis,Inability to defecate despite urgency
Ulcerative colitis,Weight loss
Ulcerative colitis,Fatigue
Ulcerative colitis,Fever
Ulcerative colitis,"In children, failure to grow"
Pneumothorax,"Chest injury. Any blunt or penetrating injury to your chest can cause lung collapse. Some injuries may happen during physical assaults or car crashes, while others may inadvertently occur during medical procedures that involve the insertion of a needle into the chest."
Pneumothorax,"Lung disease. Damaged lung tissue is more likely to collapse. Lung damage can be caused by many types of underlying diseases, such as chronic obstructive pulmonary disease (COPD), cystic fibrosis, lung cancer or pneumonia. Cystic lung diseases, such as lymphangioleiomyomatosis and Birt-Hogg-Dube syndrome, cause round, thin-walled air sacs in the lung tissue that can rupture, resulting in pneumothorax."
Pneumothorax,Ruptured air blisters. Small air blisters (blebs) can develop on the top of the lungs. These air blisters sometimes burst — allowing air to leak into the space that surrounds the lungs.
Pneumothorax,Mechanical ventilation. A severe type of pneumothorax can occur in people who need mechanical assistance to breathe. The ventilator can create an imbalance of air pressure within the chest. The lung may collapse completely.
Colon polyps,"Rectal bleeding. This can be a sign of colon polyps or cancer or other conditions, such as hemorrhoids or minor tears of the anus."
Colon polyps,"Change in stool color. Blood can show up as red streaks in your stool or make stool appear black. A change in color may also be caused by certain foods, medications or dietary supplements."
Colon polyps,"Change in bowel habits. Constipation or diarrhea that lasts longer than a week may indicate the presence of a larger colon polyp or cancer. However, a number of other conditions also can cause changes in bowel habits."
Colon polyps,"Pain. A large colon polyp can partially obstruct your bowel, leading to crampy abdominal pain."
Colon polyps,"Iron deficiency anemia. Bleeding from polyps can occur slowly over time, without visible blood in your stool. Chronic bleeding robs your body of the iron needed to produce the substance that allows red blood cells to carry oxygen to your body (hemoglobin). The result is iron deficiency anemia, which can make you feel tired and short of breath."
Common cold in babies,A congested or runny nose
Common cold in babies,Nasal discharge that may be clear at first but might thicken and turn yellow or green
Common cold in babies,Fever
Common cold in babies,Sneezing
Common cold in babies,Coughing
Common cold in babies,Decreased appetite
Common cold in babies,Irritability
Common cold in babies,Difficulty sleeping
Common cold in babies,Trouble nursing or taking a bottle due to nasal congestion
Common warts,"Small, fleshy, grainy bumps"
Common warts,"Flesh-colored, white, pink or tan"
Common warts,Rough to the touch
Common warts,"Sprinkled with black pinpoints, which are small, clotted blood vessels"
